GEOID,Typology
34023000801,LI - Not Losing Low-Income Households
34023001100,LI - Not Losing Low-Income Households
34023001411,MHI - At Risk of Exclusion
34023001901,LI - Not Losing Low-Income Households
34023002200,MHI - Displacement of LI hh - Ongoing Exclusion
34023003700,LI - Not Losing Low-Income Households
34023007203,LI - Not Losing Low-Income Households
34003003401,MHI - At Risk of Exclusion
34003017400,MHI - Displacement of LI hh - Ongoing Exclusion
34013015800,LI - Not Losing Low-Income Households
34017000600,LI - Ongoing Displacement of Low- Income Households
34017002000,LI - Not Losing Low-Income Households
34017017500,LI - Not Losing Low-Income Households
34019011500,LI - Ongoing Displacement of Low- Income Households
34023000901,MHI - Not Losing Low-Income Households
34023003201,LI - Ongoing Displacement of Low- Income Households
34023006605,LI - Not Losing Low-Income Households
34025801400,MHI - At Risk of Exclusion
34025806503,MHI - At Risk of Exclusion
34027040600,LI - Not Losing Low-Income Households
34027043700,LI - Not Losing Low-Income Households
34029711200,MHI - Displacement of LI hh - Ongoing Exclusion
34031124311,MHI - Not Losing Low-Income Households
34035053102,LI - Not Losing Low-Income Households
34039035100,LI - Not Losing Low-Income Households
34039037900,MHI - At Risk of Exclusion
34025810001,MHI - At Risk of Exclusion
34039036900,MHI - At Risk of Exclusion
34013015400,LI - Ongoing Gentrification
34027042200,LI - Not Losing Low-Income Households
34017014700,LI - At Risk of Gentrification
34021001200,LI - Not Losing Low-Income Households
34023001903,LI - Not Losing Low-Income Households
34023007905,MHI - Not Losing Low-Income Households
34025802900,MHI - At Risk of Exclusion
34025808300,LI - Not Losing Low-Income Households
34025811000,LI - Not Losing Low-Income Households
34031124500,LI - Not Losing Low-Income Households
34037374900,LI - Ongoing Displacement of Low- Income Households
34039035300,LI - Not Losing Low-Income Households
34039039100,MHI - At Risk of Exclusion
34003038200,LI - Not Losing Low-Income Households
34003061400,MHI - Displacement of LI hh - Ongoing Exclusion
34013013800,MHI - At Risk of Exclusion
34017001100,LI - Not Losing Low-Income Households
34013017000,MHI - At Risk of Exclusion
34013019300,MHI - At Risk of Exclusion
34017001000,MHI - Not Losing Low-Income Households
34017002700,LI - At Risk of Gentrification
34017004300,LI - Ongoing Displacement of Low- Income Households
34023000501,LI - Not Losing Low-Income Households
34023002302,MHI - Not Losing Low-Income Households
34025800100,LI - Not Losing Low-Income Households
34025802000,LI - Not Losing Low-Income Households
34025805900,LI - Ongoing Displacement of Low- Income Households
34025809000,LI - Ongoing Gentrification
34027045602,LI - Not Losing Low-Income Households
34031143300,MHI - At Risk of Exclusion
34003022100,MHI - At Risk of Exclusion
34003036100,LI - Not Losing Low-Income Households
34037372700,LI - Not Losing Low-Income Households
34039033700,MHI - Not Losing Low-Income Households
34037371600,LI - Not Losing Low-Income Households
34017000300,LI - Not Losing Low-Income Households
34023001502,LI - Not Losing Low-Income Households
34035053000,LI - Not Losing Low-Income Households
34013014600,MHI - Not Losing Low-Income Households
34025807100,LI - Not Losing Low-Income Households
34025807400,LI - Not Losing Low-Income Households
34025807900,LI - Not Losing Low-Income Households
34025808100,LI - Not Losing Low-Income Households
34025808500,LI - Not Losing Low-Income Households
34025809100,MHI - At Risk of Exclusion
34025809902,MHI - At Risk of Exclusion
34025810002,LI - Ongoing Displacement of Low- Income Households
34025810003,MHI - At Risk of Exclusion
34025810200,MHI - At Risk of Exclusion
34025810300,LI - Ongoing Gentrification
34025810401,MHI - At Risk of Exclusion
34025810502,MHI - At Risk of Exclusion
34025810700,LI - Not Losing Low-Income Households
34025810900,LI - Not Losing Low-Income Households
34013014100,MHI - Not Losing Low-Income Households
34013014300,MHI - Not Losing Low-Income Households
34025811900,MHI - Displacement of LI hh - Ongoing Exclusion
34027040102,LI - Not Losing Low-Income Households
34027040400,LI - Ongoing Gentrification
34027040801,MHI - At Risk of Exclusion
34027041200,MHI - At Risk of Exclusion
34027041603,LI - Not Losing Low-Income Households
34027042301,MHI - Displacement of LI hh - Ongoing Exclusion
34027042500,MHI - At Risk of Exclusion
34027043000,LI - Not Losing Low-Income Households
34013015100,MHI - Not Losing Low-Income Households
34013015300,MHI - At Risk of Exclusion
34013016100,MHI - At Risk of Exclusion
34013016600,MHI - At Risk of Exclusion
34013016800,MHI - Not Losing Low-Income Households
34013017500,MHI - Not Losing Low-Income Households
34013019100,MHI - At Risk of Exclusion
34013019600,MHI - Not Losing Low-Income Households
34013020400,MHI - At Risk of Exclusion
34027043303,MHI - At Risk of Exclusion
34027044000,MHI - Displacement of LI hh - Ongoing Exclusion
34027044102,MHI - Displacement of LI hh - Ongoing Exclusion
34027044401,MHI - At Risk of Exclusion
34027044900,LI - Not Losing Low-Income Households
34027045100,LI - Not Losing Low-Income Households
34027045401,LI - Not Losing Low-Income Households
34013021300,MHI - Displacement of LI hh - Ongoing Exclusion
34013021601,MHI - At Risk of Exclusion
34027046298,MHI - Displacement of LI hh - Ongoing Exclusion
34029713100,MHI - Not Losing Low-Income Households
34029713800,MHI - Not Losing Low-Income Households
34029715500,LI - Not Losing Low-Income Households
34029722100,MHI - Not Losing Low-Income Households
34029722300,MHI - Displacement of LI hh - Ongoing Exclusion
34029722600,MHI - Not Losing Low-Income Households
34029722800,LI - Not Losing Low-Income Households
34003001000,MHI - At Risk of Exclusion
34003003500,LI - Not Losing Low-Income Households
34003006100,LI - Not Losing Low-Income Households
34003006300,LI - Not Losing Low-Income Households
34003009200,MHI - Displacement of LI hh - Ongoing Exclusion
34003011400,LI - Ongoing Gentrification
34017000902,LI - Not Losing Low-Income Households
34017002300,MHI - Advanced Gentrification
34017004000,MHI - Not Losing Low-Income Households
34017004600,LI - Not Losing Low-Income Households
34017005600,LI - Not Losing Low-Income Households
34017006100,LI - Not Losing Low-Income Households
34017006300,LI - Not Losing Low-Income Households
34029723200,MHI - At Risk of Exclusion
34029725100,MHI - Displacement of LI hh - Ongoing Exclusion
34029729000,LI - Not Losing Low-Income Households
34029733000,LI - Not Losing Low-Income Households
34003015300,LI - Not Losing Low-Income Households
34003018200,LI - Not Losing Low-Income Households
34003020200,MHI - At Risk of Exclusion
34003021500,LI - Not Losing Low-Income Households
34003022200,MHI - Displacement of LI hh - Ongoing Exclusion
34003024200,MHI - At Risk of Exclusion
34003030400,LI - Ongoing Displacement of Low- Income Households
34017010300,LI - Ongoing Gentrification
34017010500,MHI - Not Losing Low-Income Households
34017011500,MHI - Not Losing Low-Income Households
34017012400,MHI - At Risk of Exclusion
34017013600,LI - Not Losing Low-Income Households
34017013900,MHI - Not Losing Low-Income Households
34017014300,LI - Not Losing Low-Income Households
34017017000,LI - Not Losing Low-Income Households
34017017800,LI - Not Losing Low-Income Households
34029736002,LI - Not Losing Low-Income Households
34029738100,MHI - At Risk of Exclusion
34031124321,LI - Not Losing Low-Income Households
34031124401,MHI - Displacement of LI hh - Ongoing Exclusion
34031143200,MHI - At Risk of Exclusion
34003037202,LI - Ongoing Displacement of Low- Income Households
34003039200,MHI - At Risk of Exclusion
34003046100,LI - Not Losing Low-Income Households
34003051300,LI - Not Losing Low-Income Households
34017018400,MHI - Advanced Gentrification
34017019100,MHI - Advanced Gentrification
34019010300,LI - Not Losing Low-Income Households
34019010500,LI - Not Losing Low-Income Households
34019010600,MHI - At Risk of Exclusion
34031246104,LI - Not Losing Low-Income Households
34031246202,MHI - Displacement of LI hh - Ongoing Exclusion
34031256801,MHI - Displacement of LI hh - Ongoing Exclusion
34003055100,MHI - At Risk of Exclusion
34003058200,MHI - Displacement of LI hh - Ongoing Exclusion
34003060000,MHI - At Risk of Exclusion
34019010702,LI - Not Losing Low-Income Households
34019011100,LI - Not Losing Low-Income Households
34019011400,LI - Ongoing Displacement of Low- Income Households
34019011600,MHI - Displacement of LI hh - Ongoing Exclusion
34021003001,MHI - Displacement of LI hh - Ongoing Exclusion
34021003004,MHI - Not Losing Low-Income Households
34021003100,LI - Not Losing Low-Income Households
34035050300,LI - Ongoing Displacement of Low- Income Households
34035050400,LI - Not Losing Low-Income Households
34035050802,MHI - At Risk of Exclusion
34035051300,LI - Not Losing Low-Income Households
34035051800,LI - Not Losing Low-Income Households
34035052002,LI - Not Losing Low-Income Households
34035052300,MHI - At Risk of Exclusion
34035052601,MHI - At Risk of Exclusion
34021004405,MHI - At Risk of Exclusion
34023000100,MHI - At Risk of Exclusion
34023000404,LI - Not Losing Low-Income Households
34023001200,LI - Not Losing Low-Income Households
34023001412,MHI - Not Losing Low-Income Households
34035052800,LI - Not Losing Low-Income Households
34035053703,MHI - Displacement of LI hh - Ongoing Exclusion
34035053805,LI - Not Losing Low-Income Households
34023001600,LI - Not Losing Low-Income Households
34023001803,LI - Not Losing Low-Income Households
34023002301,MHI - At Risk of Exclusion
34023002401,MHI - Not Losing Low-Income Households
34023003101,MHI - Not Losing Low-Income Households
34023003401,LI - Ongoing Displacement of Low- Income Households
34023004000,LI - Ongoing Displacement of Low- Income Households
34023005000,LI - Not Losing Low-Income Households
34023006101,LI - Not Losing Low-Income Households
34023006104,LI - Not Losing Low-Income Households
34037371400,MHI - Not Losing Low-Income Households
34037372100,LI - Not Losing Low-Income Households
34037372300,LI - Not Losing Low-Income Households
34037372600,MHI - Displacement of LI hh - Ongoing Exclusion
34037373100,MHI - Displacement of LI hh - Ongoing Exclusion
34037373800,LI - Ongoing Displacement of Low- Income Households
34037374300,MHI - At Risk of Exclusion
34037374600,LI - Not Losing Low-Income Households
34023006205,MHI - Not Losing Low-Income Households
34023006206,MHI - Not Losing Low-Income Households
34023006207,LI - Not Losing Low-Income Households
34023006403,MHI - Not Losing Low-Income Households
34023006604,LI - Not Losing Low-Income Households
34023006606,MHI - Not Losing Low-Income Households
34023006701,MHI - Not Losing Low-Income Households
34023007202,MHI - Not Losing Low-Income Households
34023007402,LI - Ongoing Displacement of Low- Income Households
34023007805,MHI - Displacement of LI hh - Ongoing Exclusion
34023007908,LI - Not Losing Low-Income Households
34039032400,LI - Not Losing Low-Income Households
34039033600,MHI - Not Losing Low-Income Households
34039034300,LI - Not Losing Low-Income Households
34039034800,MHI - Not Losing Low-Income Households
34039035800,LI - Not Losing Low-Income Households
34039036100,LI - Not Losing Low-Income Households
34039036500,MHI - At Risk of Exclusion
34023008001,LI - Ongoing Displacement of Low- Income Households
34023008204,LI - Not Losing Low-Income Households
34023008206,LI - Not Losing Low-Income Households
34023008502,MHI - At Risk of Exclusion
34023008601,MHI - Displacement of LI hh - Ongoing Exclusion
34023008700,MHI - At Risk of Exclusion
34025800400,LI - Not Losing Low-Income Households
34025800702,LI - Not Losing Low-Income Households
34039036700,MHI - Displacement of LI hh - Ongoing Exclusion
34039037100,MHI - At Risk of Exclusion
34039037200,LI - Ongoing Displacement of Low- Income Households
34039037400,MHI - At Risk of Exclusion
34039037700,MHI - At Risk of Exclusion
34039038102,MHI - At Risk of Exclusion
34039038500,MHI - At Risk of Exclusion
34039039600,LI - Not Losing Low-Income Households
34025800900,LI - Not Losing Low-Income Households
34025801900,LI - Not Losing Low-Income Households
34025802200,LI - Not Losing Low-Income Households
34025802400,MHI - At Risk of Exclusion
34025803300,MHI - At Risk of Exclusion
34025803600,LI - Ongoing Gentrification
34025804600,MHI - Displacement of LI hh - Ongoing Exclusion
34025805001,LI - Not Losing Low-Income Households
34025806100,LI - Not Losing Low-Income Households
34017012900,LI - Not Losing Low-Income Households
34023002902,LI - Ongoing Displacement of Low- Income Households
34031124402,MHI - Displacement of LI hh - Ongoing Exclusion
34035050100,LI - Not Losing Low-Income Households
34023007907,LI - Ongoing Displacement of Low- Income Households
34027045200,LI - Not Losing Low-Income Households
34027040500,LI - Not Losing Low-Income Households
34023007801,LI - Not Losing Low-Income Households
34023007906,LI - Ongoing Displacement of Low- Income Households
34023007909,MHI - Displacement of LI hh - Ongoing Exclusion
34023008103,LI - Not Losing Low-Income Households
34023008202,MHI - Not Losing Low-Income Households
34023008207,LI - Not Losing Low-Income Households
34023008208,MHI - Displacement of LI hh - Ongoing Exclusion
34023008405,MHI - Displacement of LI hh - Ongoing Exclusion
34023008501,LI - Ongoing Displacement of Low- Income Households
34023008503,MHI - Not Losing Low-Income Households
34023008602,MHI - Not Losing Low-Income Households
34025800200,LI - Not Losing Low-Income Households
34025800500,MHI - Displacement of LI hh - Ongoing Exclusion
34025800701,MHI - At Risk of Exclusion
34025800800,MHI - At Risk of Exclusion
34025801100,MHI - Not Losing Low-Income Households
34025801300,LI - Not Losing Low-Income Households
34025801500,MHI - At Risk of Exclusion
34025801800,LI - Not Losing Low-Income Households
34025802300,LI - Not Losing Low-Income Households
34025802600,LI - Not Losing Low-Income Households
34025802800,LI - Not Losing Low-Income Households
34025803000,LI - Ongoing Displacement of Low- Income Households
34025803700,MHI - Displacement of LI hh - Ongoing Exclusion
34025803900,LI - Not Losing Low-Income Households
34025804100,LI - Not Losing Low-Income Households
34025805100,LI - Not Losing Low-Income Households
34025805400,LI - Not Losing Low-Income Households
34025806504,LI - Not Losing Low-Income Households
34025806600,MHI - At Risk of Exclusion
34025807800,LI - Not Losing Low-Income Households
34025808001,LI - Not Losing Low-Income Households
34025808002,LI - Not Losing Low-Income Households
34025808402,LI - Ongoing Gentrification
34025808600,LI - Not Losing Low-Income Households
34025809200,MHI - At Risk of Exclusion
34025806300,LI - Not Losing Low-Income Households
34025806502,LI - Not Losing Low-Income Households
34025809400,MHI - At Risk of Exclusion
34025809901,MHI - At Risk of Exclusion
34025811200,LI - Not Losing Low-Income Households
34025811301,LI - Not Losing Low-Income Households
34027040200,LI - Not Losing Low-Income Households
34027040300,LI - Not Losing Low-Income Households
34027040701,MHI - At Risk of Exclusion
34027040702,MHI - At Risk of Exclusion
34027040900,LI - Not Losing Low-Income Households
34027041300,LI - Not Losing Low-Income Households
34027041601,LI - Not Losing Low-Income Households
34027041604,LI - Not Losing Low-Income Households
34027041802,LI - Not Losing Low-Income Households
34027041803,MHI - Displacement of LI hh - Ongoing Exclusion
34027042100,LI - Not Losing Low-Income Households
34027042600,LI - Not Losing Low-Income Households
34027042700,MHI - At Risk of Exclusion
34027043402,MHI - At Risk of Exclusion
34027043600,LI - Ongoing Displacement of Low- Income Households
34027043800,LI - Not Losing Low-Income Households
34027043900,MHI - At Risk of Exclusion
34027044101,MHI - At Risk of Exclusion
34027044501,LI - Not Losing Low-Income Households
34027044800,LI - Not Losing Low-Income Households
34027045000,LI - Not Losing Low-Income Households
34027045300,LI - Not Losing Low-Income Households
34027045402,LI - Not Losing Low-Income Households
34027045902,MHI - Displacement of LI hh - Ongoing Exclusion
34027046297,MHI - Displacement of LI hh - Ongoing Exclusion
34029711300,MHI - Not Losing Low-Income Households
34029713500,LI - Not Losing Low-Income Households
34029713700,MHI - At Risk of Exclusion
34029713900,LI - Not Losing Low-Income Households
34029714200,MHI - Displacement of LI hh - Ongoing Exclusion
34029715000,LI - Not Losing Low-Income Households
34029715800,LI - Not Losing Low-Income Households
34029717200,MHI - Displacement of LI hh - Ongoing Exclusion
34029717400,MHI - Displacement of LI hh - Ongoing Exclusion
34029722900,LI - Not Losing Low-Income Households
34029723100,LI - Not Losing Low-Income Households
34029723300,MHI - Displacement of LI hh - Ongoing Exclusion
34029723600,MHI - Displacement of LI hh - Ongoing Exclusion
34029726000,MHI - At Risk of Exclusion
34029728000,LI - Ongoing Displacement of Low- Income Households
34029736001,MHI - Not Losing Low-Income Households
34029737000,LI - Not Losing Low-Income Households
34029738002,MHI - At Risk of Exclusion
34031124312,MHI - Displacement of LI hh - Ongoing Exclusion
34031124323,MHI - Advanced Gentrification
34031124602,LI - Ongoing Displacement of Low- Income Households
34031143400,MHI - Displacement of LI hh - Ongoing Exclusion
34003005000,LI - Ongoing Gentrification
34003011100,LI - Not Losing Low-Income Households
34003011300,LI - Ongoing Displacement of Low- Income Households
34003015100,MHI - At Risk of Exclusion
34003015400,LI - Ongoing Gentrification
34003016000,MHI - Displacement of LI hh - Ongoing Exclusion
34003021100,LI - Not Losing Low-Income Households
34003021200,LI - Ongoing Displacement of Low- Income Households
34003023100,LI - Not Losing Low-Income Households
34003025100,LI - Not Losing Low-Income Households
34003026200,MHI - At Risk of Exclusion
34003030200,LI - Not Losing Low-Income Households
34003030300,LI - Not Losing Low-Income Households
34003031100,LI - Ongoing Displacement of Low- Income Households
34003031400,LI - Not Losing Low-Income Households
34003034000,MHI - At Risk of Exclusion
34003035100,MHI - At Risk of Exclusion
34003037100,MHI - Displacement of LI hh - Ongoing Exclusion
34003038100,LI - Not Losing Low-Income Households
34003038300,LI - Not Losing Low-Income Households
34003039100,LI - Not Losing Low-Income Households
34003041100,LI - Not Losing Low-Income Households
34003042100,LI - Not Losing Low-Income Households
34003045200,LI - Not Losing Low-Income Households
34003047400,MHI - Displacement of LI hh - Ongoing Exclusion
34003048200,MHI - Displacement of LI hh - Ongoing Exclusion
34003051200,LI - Not Losing Low-Income Households
34003053100,MHI - At Risk of Exclusion
34031203600,LI - Not Losing Low-Income Households
34031246103,MHI - At Risk of Exclusion
34031246201,MHI - Displacement of LI hh - Ongoing Exclusion
34031246300,LI - Not Losing Low-Income Households
34031256804,MHI - At Risk of Exclusion
34031256805,MHI - At Risk of Exclusion
34035050801,MHI - At Risk of Exclusion
34035050903,MHI - At Risk of Exclusion
34035051000,LI - Not Losing Low-Income Households
34035051900,LI - Ongoing Displacement of Low- Income Households
34035052100,MHI - Displacement of LI hh - Ongoing Exclusion
34035052700,MHI - Displacement of LI hh - Ongoing Exclusion
34035052901,LI - Not Losing Low-Income Households
34035053501,LI - Not Losing Low-Income Households
34035053901,MHI - At Risk of Exclusion
34003054600,LI - Not Losing Low-Income Households
34003056100,MHI - At Risk of Exclusion
34003059100,LI - Not Losing Low-Income Households
34003059200,LI - Not Losing Low-Income Households
34037371000,LI - Not Losing Low-Income Households
34037371300,MHI - At Risk of Exclusion
34037371900,LI - Not Losing Low-Income Households
34037372000,LI - Not Losing Low-Income Households
34037372400,LI - Not Losing Low-Income Households
34037372500,LI - Ongoing Displacement of Low- Income Households
34037372900,LI - Not Losing Low-Income Households
34037373200,MHI - At Risk of Exclusion
34013016200,MHI - At Risk of Exclusion
34013016400,MHI - Displacement of LI hh - Ongoing Exclusion
34013016500,MHI - At Risk of Exclusion
34013016900,MHI - At Risk of Exclusion
34013017200,MHI - At Risk of Exclusion
34013017400,MHI - Displacement of LI hh - Ongoing Exclusion
34013017900,MHI - At Risk of Exclusion
34013018800,LI - Not Losing Low-Income Households
34013019000,MHI - At Risk of Exclusion
34037373400,MHI - At Risk of Exclusion
34037373500,MHI - Not Losing Low-Income Households
34037373900,LI - Not Losing Low-Income Households
34037374200,MHI - Not Losing Low-Income Households
34037374500,LI - Not Losing Low-Income Households
34037374700,LI - Not Losing Low-Income Households
34039031500,LI - Not Losing Low-Income Households
34039032100,MHI - At Risk of Exclusion
34039032600,LI - Ongoing Gentrification
34039033000,MHI - Displacement of LI hh - Ongoing Exclusion
34039033200,MHI - Displacement of LI hh - Ongoing Exclusion
34039033500,LI - Not Losing Low-Income Households
34039033900,LI - Not Losing Low-Income Households
34013013700,LI - At Risk of Gentrification
34017002900,LI - Not Losing Low-Income Households
34017011600,LI - Ongoing Displacement of Low- Income Households
34039035500,LI - Not Losing Low-Income Households
34039035700,LI - Not Losing Low-Income Households
34039036000,LI - Not Losing Low-Income Households
34039038300,MHI - At Risk of Exclusion
34013008000,LI - Ongoing Gentrification
34013011400,LI - Ongoing Displacement of Low- Income Households
34013012700,LI - Not Losing Low-Income Households
34013014000,MHI - Not Losing Low-Income Households
34013014200,MHI - Not Losing Low-Income Households
34013014400,LI - Not Losing Low-Income Households
34013015000,MHI - At Risk of Exclusion
34013015200,MHI - At Risk of Exclusion
34013019500,MHI - Displacement of LI hh - Ongoing Exclusion
34013019800,MHI - At Risk of Exclusion
34013020000,MHI - At Risk of Exclusion
34013020300,MHI - At Risk of Exclusion
34013020700,MHI - At Risk of Exclusion
34013020902,MHI - At Risk of Exclusion
34013021100,MHI - At Risk of Exclusion
34013021400,MHI - At Risk of Exclusion
34013021602,MHI - At Risk of Exclusion
34017000500,LI - Not Losing Low-Income Households
34017000800,MHI - Advanced Gentrification
34017001900,LI - At Risk of Gentrification
34017003100,LI - Ongoing Displacement of Low- Income Households
34017004101,LI - Not Losing Low-Income Households
34017015500,LI - Not Losing Low-Income Households
34017004200,LI - Not Losing Low-Income Households
34017005200,LI - Not Losing Low-Income Households
34017005400,MHI - Not Losing Low-Income Households
34017005900,LI - Not Losing Low-Income Households
34017010100,LI - Not Losing Low-Income Households
34017010200,LI - Not Losing Low-Income Households
34017010400,LI - At Risk of Gentrification
34017010700,LI - Not Losing Low-Income Households
34017011200,MHI - Not Losing Low-Income Households
34017011400,MHI - Displacement of LI hh - Ongoing Exclusion
34017013500,LI - Not Losing Low-Income Households
34017014000,LI - Not Losing Low-Income Households
34017014400,MHI - Not Losing Low-Income Households
34017014800,LI - At Risk of Gentrification
34017015900,LI - At Risk of Gentrification
34017017100,LI - Not Losing Low-Income Households
34039038400,MHI - Displacement of LI hh - Ongoing Exclusion
34039038700,MHI - Displacement of LI hh - Ongoing Exclusion
34017017700,LI - Not Losing Low-Income Households
34017017900,MHI - Advanced Gentrification
34017018500,MHI - Advanced Gentrification
34017018900,MHI - Advanced Gentrification
34017019400,MHI - At Risk of Exclusion
34039039200,LI - Not Losing Low-Income Households
34039039700,LI - Not Losing Low-Income Households
34019010400,MHI - At Risk of Exclusion
34019011800,LI - Ongoing Displacement of Low- Income Households
34021001300,LI - Ongoing Displacement of Low- Income Households
34021002902,LI - Not Losing Low-Income Households
34021003003,LI - Not Losing Low-Income Households
34021003008,LI - Not Losing Low-Income Households
34021003009,LI - Not Losing Low-Income Households
34021003602,LI - Not Losing Low-Income Households
34021004201,MHI - Displacement of LI hh - Ongoing Exclusion
34021004403,LI - Not Losing Low-Income Households
34023005100,LI - Not Losing Low-Income Households
34023006608,MHI - Not Losing Low-Income Households
34023007102,LI - Ongoing Displacement of Low- Income Households
34023007103,LI - Not Losing Low-Income Households
34023007303,LI - Not Losing Low-Income Households
34023007702,LI - Ongoing Gentrification
34023007703,MHI - Not Losing Low-Income Households
34023000200,LI - Not Losing Low-Income Households
34023000401,LI - Not Losing Low-Income Households
34023000603,MHI - Not Losing Low-Income Households
34023000606,MHI - Not Losing Low-Income Households
34023000802,MHI - At Risk of Exclusion
34023001002,MHI - Not Losing Low-Income Households
34023001300,LI - Not Losing Low-Income Households
34023001409,MHI - At Risk of Exclusion
34023001504,MHI - At Risk of Exclusion
34023001701,MHI - Not Losing Low-Income Households
34023001702,LI - Not Losing Low-Income Households
34023001902,LI - Not Losing Low-Income Households
34023002000,MHI - At Risk of Exclusion
34023002402,MHI - Not Losing Low-Income Households
34023002500,LI - Not Losing Low-Income Households
34023003102,LI - Not Losing Low-Income Households
34023003203,LI - Ongoing Displacement of Low- Income Households
